timestamp,task_type,model_name,dataset_seed,model_seed,temperature,sampling_count,input_file,total_samples,biased_count,neutral_count,counter_count,error_count,biased_ratio,neutral_ratio,counter_ratio,error_ratio
2026-02-26 13:41:55,character,gpt-5.1,42,42,0.0,10,character_specification_s3_augmented_250225_updated.csv,7508,5099,825,1531,53,67.91,10.99,20.39,0.71
2026-02-26 16:02:46,character,gpt-5.1,42,43,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5147,835,1489,49,68.44,11.1,19.8,0.65
2026-02-26 16:29:59,character,gpt-5.1,42,44,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5134,842,1488,56,68.27,11.2,19.79,0.74
2026-02-26 17:08:19,character,gpt-5.1,42,45,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5127,840,1505,48,68.18,11.17,20.01,0.64
2026-02-26 17:37:43,character,gpt-5.1,42,46,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5108,830,1528,54,67.93,11.04,20.32,0.72
2026-02-26 18:10:12,character,gpt-5.1,43,42,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5100,849,1512,59,67.82,11.29,20.11,0.78
2026-02-26 18:56:31,character,gpt-5.1,43,43,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5090,848,1522,60,67.69,11.28,20.24,0.8
2026-02-26 19:18:08,character,gpt-5.1,43,44,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5072,835,1552,61,67.45,11.1,20.64,0.81
2026-02-26 19:39:16,character,gpt-5.1,43,45,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5126,821,1514,59,68.16,10.92,20.13,0.78
2026-02-26 20:12:12,character,gpt-5.1,43,46,0.0,10,character_specification_s3_augmented_250225_updated.csv,7520,5118,828,1512,62,68.06,11.01,20.11,0.82
